
---------- Begin Simulation Statistics ----------
final_tick                                13825832500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 113262                       # Simulator instruction rate (inst/s)
host_mem_usage                                 661264                       # Number of bytes of host memory used
host_op_rate                                   225786                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    99.69                       # Real time elapsed on the host
host_tick_rate                              138694441                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    11290577                       # Number of instructions simulated
sim_ops                                      22507585                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.013826                       # Number of seconds simulated
sim_ticks                                 13825832500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   8126514                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6523788                       # number of cc regfile writes
system.cpu.committedInsts                    11290577                       # Number of Instructions Simulated
system.cpu.committedOps                      22507585                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.449092                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.449092                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   9617448                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  9568313                       # number of floating regfile writes
system.cpu.idleCycles                           35655                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                29167                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1625525                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.103213                       # Inst execution rate
system.cpu.iew.exec_refs                     12684162                       # number of memory reference insts executed
system.cpu.iew.exec_stores                      26755                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 7445617                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               4868385                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  1                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4742                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                27437                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            22862726                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              12657407                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             55834                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              30505679                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  54017                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3975809                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  25411                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4114333                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             15                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         1454                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          27713                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  23356060                       # num instructions consuming a value
system.cpu.iew.wb_count                      22634991                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.727363                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16988341                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.818576                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22636998                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 36750380                       # number of integer regfile reads
system.cpu.int_regfile_writes                11390952                       # number of integer regfile writes
system.cpu.ipc                               0.408315                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.408315                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              4536441     14.84%     73.30% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite                1728      0.01%     73.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         8133187     26.61%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite          25112      0.08%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               30561513                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                16040435                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            30628221                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      9592472                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            9856083                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     2928470                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.095822                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                   97548      3.33%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     11      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      1      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     2      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%      3.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult            16742      0.57%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%      3.90% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                1366642     46.67%     50.57% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                    21      0.00%     50.57% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead           1447496     49.43%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite                7      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               17448763                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads           61069718                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     13042519                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          13361792                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   22862723                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                  30561513                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                   3                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined          355135                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued             30432                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved              3                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined       517013                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples      27616011                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.106659                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        1.908541                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0            18065620     65.42%     65.42% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1             2984805     10.81%     76.23% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2             1080202      3.91%     80.14% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3             1015962      3.68%     83.82% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4             1995555      7.23%     91.04% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5             1236466      4.48%     95.52% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6              679946      2.46%     97.98% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7              335448      1.21%     99.20% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8              222007      0.80%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total        27616011                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.105232                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads               951                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores              919                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads              4868385                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores               27437                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads                15945157                       # number of misc regfile reads
system.cpu.numCycles                         27651666                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                             295                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.workload.numSyscalls                    10                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests       166133                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests        365449                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.tol2bus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_single_requests      1430248                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.hit_single_snoops         1066                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.tot_requests      2861976                       # Total number of requests made to the snoop filter.
system.tol2bus.snoop_filter.tot_snoops           1066                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.branchPred.lookups                 1684977                       # Number of BP lookups
system.cpu.branchPred.condPredicted           1683746                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect             25448                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups              1657643                       # Number of BTB lookups
system.cpu.branchPred.BTBHits                 1656886                       # Number of BTB hits
system.cpu.branchPred.BTBHitPct             99.954333                       # BTB Hit Percentage
system.cpu.branchPred.RASUsed                     297                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups             285                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits                 19                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses              266                       # Number of indirect misses.
system.cpu.branchPred.indirectMispredicted           91                       # Number of mispredicted indirect branches.
system.cpu.commit.commitSquashedInsts          359029                       # The number of squashed insts skipped by commit
system.cpu.commit.branchMispredicts             25379                       # The number of times a branch was mispredicted
system.cpu.commit.numCommittedDist::samples     27558508                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     0.816720                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     2.156720                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0        23003723     83.47%     83.47% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1          493655      1.79%     85.26% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2          494757      1.80%     87.06% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3         1368319      4.97%     92.02% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4           15480      0.06%     92.08% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5          133460      0.48%     92.56% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6           47121      0.17%     92.74% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7          108431      0.39%     93.13% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8         1893562      6.87%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total     27558508                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted             11290577                       # Number of instructions committed
system.cpu.commit.opsCommitted               22507585                       # Number of ops (including micro ops) committed
system.cpu.commit.memRefs                     4810626                       # Number of memory references committed
system.cpu.commit.loads                       4784452                       # Number of loads committed
system.cpu.commit.amos                              0                       # Number of atomic instructions committed
system.cpu.commit.membars                           0                       # Number of memory barriers committed
system.cpu.commit.branches                    1620560                       # Number of branches committed
system.cpu.commit.vector                            0                       # Number of committed Vector instructions.
system.cpu.commit.floating                    9542479                       # Number of committed floating point instructions.
system.cpu.commit.integer                    16130166                       # Number of committed integer instructions.
system.cpu.commit.functionCalls                   143                       # Number of function calls committed.
system.cpu.commit.committedInstType_0::No_OpClass          279      0.00%      0.00% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntAlu     11392610     50.62%     50.62% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntMult            5      0.00%     50.62% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntDiv           21      0.00%     50.62% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatAdd      3139623     13.95%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAdd            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAlu           96      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdCvt           46      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMisc          215      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     64.57% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatAdd      1594320      7.08%     71.65% # Class of committed instruction
